file	TP	FP	FN	P	R	F1	mean_err	median_err
hello	5	0	5	1.000	0.500	0.667	0.0	0.0
mathlib	5	0	3	1.000	0.625	0.769	0.0	0.0
sort	7	1	4	0.875	0.636	0.737	1.1	0.0
