file	TP	FP	FN	P	R	F1	mean_err	median_err
hello	8	0	2	1.000	0.800	0.889	1.0	0.0
mathlib	7	0	1	1.000	0.875	0.933	0.0	0.0
sort	8	4	3	0.667	0.727	0.696	1.0	0.0
