threshold	MacroP	MacroR	MacroF1
0.70	0.978866	0.985161	0.981329
0.75	0.983201	0.985161	0.983651
0.80	0.985262	0.984128	0.984128
0.85	0.989242	0.984128	0.986121
0.90	0.992644	0.984128	0.987879
0.92	0.993409	0.984128	0.988235
0.95	0.994544	0.983248	0.988376
0.97	0.995235	0.978960	0.986450
