name	threshold	MacroP	MacroR	MacroF1
summary_thr_v06_logreg_raw_O3_	0.20	0.455	0.823	0.566
summary_thr_v06_logreg_raw_O3_	0.25	0.485	0.677	0.548
summary_thr_v06_logreg_raw_O3_	0.30	0.500	0.581	0.522
summary_thr_v06_logreg_raw_O3_	0.33	0.511	0.436	0.460
summary_thr_v06_logreg_raw_O3_	0.35	0.520	0.426	0.458
summary_thr_v06_logreg_raw_O3_	0.40	0.502	0.334	0.394
summary_thr_v06_logreg_raw_O3_	0.45	0.522	0.314	0.387
summary_thr_v06_logreg_raw_O3_	0.50	0.520	0.286	0.364
summary_thr_v06_logreg_raw_O3_	0.55	0.533	0.271	0.355
