name	threshold	MacroP	MacroR	MacroF1
summary_thr_v06g_xgb_O3_small_	0.25	0.897	0.862	0.874
summary_thr_v06g_xgb_O3_small_	0.30	0.915	0.856	0.879
summary_thr_v06g_xgb_O3_small_	0.35	0.927	0.854	0.884
summary_thr_v06g_xgb_O3_small_	0.40	0.935	0.851	0.885
