file	TP	FP	FN	P	R	F1	mean_err	median_err
hello	8	0	2	1.000	0.800	0.889	1.0	0.0
mathlib	8	0	0	1.000	1.000	1.000	0.0	0.0
sort	7	3	4	0.700	0.636	0.667	1.1	0.0
