name	threshold	MacroP	MacroR	MacroF1
summary_thr_v06_rf_raw_O3_	0.20	0.520	0.906	0.636
summary_thr_v06_rf_raw_O3_	0.25	0.523	0.902	0.638
summary_thr_v06_rf_raw_O3_	0.30	0.523	0.901	0.638
summary_thr_v06_rf_raw_O3_	0.33	0.524	0.901	0.638
summary_thr_v06_rf_raw_O3_	0.35	0.524	0.900	0.638
summary_thr_v06_rf_raw_O3_	0.40	0.525	0.900	0.638
summary_thr_v06_rf_raw_O3_	0.45	0.525	0.899	0.638
summary_thr_v06_rf_raw_O3_	0.50	0.525	0.898	0.638
summary_thr_v06_rf_raw_O3_	0.55	0.525	0.897	0.638
