file	TP	FP	FN	P	R	F1	mean_err	median_err
hello	9	4	1	0.692	0.900	0.783	0.9	0.0
mathlib	8	4	0	0.667	1.000	0.800	0.0	0.0
sort	9	7	2	0.562	0.818	0.667	0.9	0.0
