binary,start,end,name
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198448,4198454,puts
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198464,4198470,printf
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198480,4198514,entry
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198528,4198529,FUN_00401080
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198544,4198577,FUN_00401090
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198592,4198641,FUN_004010c0
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198656,4198689,_FINI_0
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198704,4198710,_INIT_0
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198710,4198952,FUN_00401136
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4198952,4198961,_DT_FINI
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4214792,4214793,puts
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4214800,4214801,printf
rosetta_v06_00539_FizzBuzz_fizzbuzz-9_stripped,4214808,4214809,__gmon_start__
